original_index,pathology_score,pseudo_label,label_name
2,43.155552405427976,0,low_score
4,66.07419886795738,1,high_score
5,107.90951464298135,1,high_score
6,72.60252152790942,1,high_score
8,42.870845840821325,0,low_score
9,37.1393533703104,0,low_score
15,60.7093513222187,1,high_score
16,62.633800132995354,1,high_score
19,47.374442439623415,0,low_score
21,45.59609133636479,0,low_score
24,46.27941506990552,0,low_score
25,44.71062496961967,0,low_score
28,46.470224840157094,0,low_score
30,45.10183496130169,0,low_score
31,44.96889756722682,0,low_score
32,47.0793462190612,0,low_score
37,65.2805801565118,1,high_score
38,69.61933125582507,1,high_score
39,72.00789247608851,1,high_score
46,63.39844173517203,1,high_score
47,78.8460527808022,1,high_score
48,87.94387266662117,1,high_score
49,103.57691337412894,1,high_score
50,88.75050661222457,1,high_score
51,96.43992886334806,1,high_score
56,46.14108353658985,0,low_score
57,47.20039194451697,0,low_score
58,47.71207316254071,0,low_score
60,71.39123156450806,1,high_score
71,63.62272621665733,1,high_score
72,60.79089657467158,1,high_score
77,46.833193941955756,0,low_score
79,47.83865097837229,0,low_score
80,46.63353937199527,0,low_score
85,47.931458637419496,0,low_score
86,46.11367539905959,0,low_score
87,45.41897770560045,0,low_score
88,45.97160147093362,0,low_score
101,47.79575042730514,0,low_score
104,68.93307606027577,1,high_score
105,68.76686542757525,1,high_score
106,60.16467185639892,1,high_score
107,62.85962070528274,1,high_score
108,59.687564699881605,1,high_score
112,43.155552405427976,0,low_score
114,66.07419886795738,1,high_score
115,107.90951464298135,1,high_score
116,72.60252152790942,1,high_score
118,42.870845840821325,0,low_score
119,37.1393533703104,0,low_score
125,60.7093513222187,1,high_score
126,62.633800132995354,1,high_score
129,47.374442439623415,0,low_score
131,45.59609133636479,0,low_score
134,46.27941506990552,0,low_score
135,44.71062496961967,0,low_score
138,46.470224840157094,0,low_score
140,45.10183496130169,0,low_score
141,44.96889756722682,0,low_score
142,47.0793462190612,0,low_score
147,65.2805801565118,1,high_score
148,69.61933125582507,1,high_score
149,72.00789247608851,1,high_score
156,63.39844173517203,1,high_score
157,78.8460527808022,1,high_score
158,87.94387266662117,1,high_score
159,103.57691337412894,1,high_score
160,88.75050661222457,1,high_score
161,96.43992886334806,1,high_score
166,46.14108353658985,0,low_score
167,47.20039194451697,0,low_score
168,47.71207316254071,0,low_score
170,71.39123156450806,1,high_score
181,63.62272621665733,1,high_score
182,60.79089657467158,1,high_score
187,46.833193941955756,0,low_score
189,47.83865097837229,0,low_score
190,46.63353937199527,0,low_score
195,47.931458637419496,0,low_score
196,46.11367539905959,0,low_score
197,45.41897770560045,0,low_score
198,45.97160147093362,0,low_score
211,47.79575042730514,0,low_score
214,68.93307606027577,1,high_score
215,68.76686542757525,1,high_score
216,60.16467185639892,1,high_score
217,62.85962070528274,1,high_score
218,59.687564699881605,1,high_score
